DATE,POP
2003-08-01,291072.0
2003-09-01,291321.0
2003-10-01,291574.0
2003-11-01,291807.0
2003-12-01,292008.0
2004-01-01,292192.0
2004-02-01,292368.0
2004-03-01,292561.0
2004-04-01,292779.0
2004-05-01,292997.0
2004-06-01,293223.0
2004-07-01,293463.0
2004-08-01,293719.0
2004-09-01,293971.0
2004-10-01,294230.0
2004-11-01,294466.0
2004-12-01,294694.0
2005-01-01,294914.0
2005-02-01,295105.0
2005-03-01,295287.0
2005-04-01,295490.0
2005-05-01,295704.0
2005-06-01,295936.0
2005-07-01,296186.0
2005-08-01,296440.0
2005-09-01,296707.0
2005-10-01,296972.0
2005-11-01,297207.0
2005-12-01,297431.0
2006-01-01,297647.0
2006-02-01,297854.0
2006-03-01,298060.0
2006-04-01,298281.0
2006-05-01,298496.0
2006-06-01,298739.0
2006-07-01,298996.0
2006-08-01,299263.0
2006-09-01,299554.0
2006-10-01,299835.0
2006-11-01,300094.0
2006-12-01,300340.0
2007-01-01,300574.0
2007-02-01,300802.0
2007-03-01,301021.0
2007-04-01,301254.0
2007-05-01,301483.0
2007-06-01,301739.0
2007-07-01,302004.0
2007-08-01,302267.0
2007-09-01,302546.0
2007-10-01,302807.0
2007-11-01,303054.0
2007-12-01,303287.0
2008-01-01,303506.0
2008-02-01,303711.0
2008-03-01,303907.0
2008-04-01,304117.0
2008-05-01,304323.0
2008-06-01,304556.0
2008-07-01,304798.0
2008-08-01,305045.0
2008-09-01,305309.0
2008-10-01,305554.0
2008-11-01,305786.0
2008-12-01,306004.0
2009-01-01,306208.0
2009-02-01,306402.0
2009-03-01,306588.0
2009-04-01,306787.0
2009-05-01,306984.0
2009-06-01,307206.0
2009-07-01,307439.0
2009-08-01,307685.0
2009-09-01,307946.0
2009-10-01,308189.0
2009-11-01,308418.0
2009-12-01,308633.0
2010-01-01,308833.0
2010-02-01,309027.0
2010-03-01,309212.0
2010-04-01,309191.211
2010-05-01,309367.58
2010-06-01,309545.555
2010-07-01,309741.279
2010-08-01,309951.795
2010-09-01,310168.926
2010-10-01,310390.859
2010-11-01,310585.106
2010-12-01,310769.486
2011-01-01,310946.962
2011-02-01,311098.039
2011-03-01,311248.506
2011-04-01,311417.782
2011-05-01,311587.063
2011-06-01,311769.648
2011-07-01,311973.914
2011-08-01,312180.558
2011-09-01,312402.633
2011-10-01,312616.001
2011-11-01,312799.689
2011-12-01,312978.205
2012-01-01,313149.997
2012-02-01,313304.12
2012-03-01,313462.838
2012-04-01,313628.923
2012-05-01,313790.652
2012-06-01,313976.041
2012-07-01,314167.558
2012-08-01,314377.381
2012-09-01,314600.057
2012-10-01,314805.556
2012-11-01,315003.708
2012-12-01,315180.866
2013-01-01,315335.976
2013-02-01,315464.793
2013-03-01,315605.141
2013-04-01,315759.039
2013-05-01,315923.105
2013-06-01,316108.76
2013-07-01,316294.766
2013-08-01,316514.531
2013-09-01,316738.543
2013-10-01,316952.905
2013-11-01,317156.876
2013-12-01,317338.617
2014-01-01,317519.206
2014-02-01,317677.384
2014-03-01,317838.92
2014-04-01,318009.154
2014-05-01,318187.658
2014-06-01,318380.521
2014-07-01,318576.955
2014-08-01,318806.531
2014-09-01,319036.2
2014-10-01,319262.799
2014-11-01,319471.435
2014-12-01,319651.541
2015-01-01,319832.19
2015-02-01,319976.213
2015-03-01,320130.646
2015-04-01,320300.314
2015-05-01,320480.147
2015-06-01,320667.889
2015-07-01,320870.703
2015-08-01,321093.062
2015-09-01,321316.348
2015-10-01,321539.88
2015-11-01,321741.248
2015-12-01,321926.178
2016-01-01,322114.094
2016-02-01,322277.451
2016-03-01,322428.943
2016-04-01,322596.809
2016-05-01,322773.714
2016-06-01,322960.309
2016-07-01,323161.011
2016-08-01,323369.427
2016-09-01,323576.012
2016-10-01,323783.987
2016-11-01,323968.882
2016-12-01,324135.365
2017-01-01,324296.746
2017-02-01,324427.384
2017-03-01,324559.999
2017-04-01,324704.641
2017-05-01,324861.316
2017-06-01,325027.016
2017-07-01,325206.03
2017-08-01,325386.457
2017-09-01,325565.293
2017-10-01,325741.643
2017-11-01,325898.856
2017-12-01,326036.736
2018-01-01,326163.263
2018-02-01,326268.894
2018-03-01,326377.173
2018-04-01,326496.848
2018-05-01,326628.822
2018-06-01,326769.726
2018-07-01,326923.976
2018-08-01,327086.833
2018-09-01,327248.127
2018-10-01,327407.004
2018-11-01,327546.8
2018-12-01,327667.595
2019-01-01,327776.541
2019-02-01,327871.957
2019-03-01,327970.02
2019-04-01,328079.473
2019-05-01,328201.245
2019-06-01,328331.949
2019-07-01,328475.998
2019-08-01,328646.02
2019-09-01,328814.479
2019-10-01,328980.52
2019-11-01,329127.484
2019-12-01,329255.444
2020-01-01,329371.559
2020-02-01,329474.136
2020-03-01,329579.358
2020-04-01,331696.325
2020-05-01,331671.367
2020-06-01,331699.141
2020-07-01,331757.805
2020-08-01,331832.647
2020-09-01,331907.154
2020-10-01,331993.786
2020-11-01,332057.046
2020-12-01,332069.17
2021-01-01,332024.15
2021-02-01,331959.692
2021-03-01,331975.37
2021-04-01,332038.862
2021-05-01,332106.81
2021-06-01,332181.181
2021-07-01,332281.395
2021-08-01,332433.994
2021-09-01,332544.706
2021-10-01,332642.317
2021-11-01,332741.721
2021-12-01,332838.487
2022-01-01,332913.239
2022-02-01,332923.325
2022-03-01,332993.972
2022-04-01,333117.831
2022-05-01,333250.655
2022-06-01,333383.566
2022-07-01,333537.25
2022-08-01,333709.887
2022-09-01,333887.159
2022-10-01,334064.228
2022-11-01,334216.939
2022-12-01,334356.155
2023-01-01,334483.547
2023-02-01,334582.114
2023-03-01,334691.406
2023-04-01,334815.541
2023-05-01,334944.293
2023-06-01,335082.618
2023-07-01,335244.204
2023-08-01,335413.676
